的	DE_0;DI_1;DI_4;DI_2;DI_0
遇到真爱	YU_4 DAO_4 ZHEN_1 AI_4
遂	SUI_4;SUI_2
逾	YU_2
逼到	BI_1 DAO_4
逮住	DAI_3 ZHU_4
造谣	ZAO_4 YAO_2
造福	ZAO_4 FU_2
速龙	SU_4 LONG_2
逛街购物	GUANG_4 JIE_1 GOU_4 WU_4
通达	TONG_1 DA_2
通路	TONG_1 LU_4
通程	TONG_1 CHENG_2
通海	TONG_1 HAI_3
通告	TONG_1 GAO_4
递进	DI_4 JIN_4
透过	TOU_4 GUO_4
逊	XUN_4
选题	XUAN_3 TI_2
选调	XUAN_3 DIAO_4
选课	XUAN_3 KE_4
逃离	TAO_2 LI_2
逃犯	TAO_2 FAN_4
送进	SONG_4 JIN_4
送车	SONG_4 CHE_1
送菜	SONG_4 CAI_4
送医	SONG_4 YI_1
退课	TUI_4 KE_4
退来	TUI_4 LAI_2
退开	TUI_4 KAI_1
退学	TUI_4 XUE_2
退休年龄	TUI_4 XIU_1 NIAN_2 LING_2
追男	ZHUI_1 NAN_2
追回来	ZHUI_1 HUI_2 LAI_2
追偿	ZHUI_1 CHANG_2
追上	ZHUI_1 SHANG_4
迹	JI_4
迷惑	MI_2 HUO_4
迷住	MI_2 ZHU_4
连队	LIAN_2 DUI_4
连战	LIAN_2 ZHAN_4
连平	LIAN_2 PING_2
远景	YUAN_2 JING_3;YUAN_3 JING_3
远古	YUAN_2 GU_3;YUAN_3 GU_3
进驻	JIN_4 ZHU_4
进餐	JIN_4 CAN_1
进财	JIN_4 CAI_2
进行时	JIN_4 XING_2 SHI_2
进行式	JIN_4 XING_2 SHI_4
进山	JIN_4 SHAN_1
进之	JIN_4 ZHI_1
这阵子	ZHE_4 ZHEN_4 ZI_0
这般	ZHE_4 BAN_1
这伙	ZHE_4 HUO_3
还账	HUAN_2 ZHANG_4
返聘	FAN_3 PIN_4
近年来	JIN_4 NIAN_2 LAI_2
近代	JIN_4 DAI_4
近亲	JIN_4 QIN_1
运通	YUN_4 TONG_1
运算	YUN_4 SUAN_4
运来	YUN_4 LAI_2
运动男	YUN_4 DONG_4 NAN_2
迈皋桥	MAI_4 GAO_1 QIAO_2
迈向	MAI_4 XIANG_4
过账	GUO_4 ZHANG_4
过站	GUO_4 ZHAN_4
过水	GUO_4 SHUI_3
过敏症	GUO_4 MIN_3 ZHENG_4
过敏性	GUO_4 MIN_3 XING_4
过年啦	GUO_4 NIAN_2 LA_0
过少	GUO_4 SHAO_3
过压	GUO_4 YA_1
过劳	GUO_4 LAO_2
过位	GUO_4 WEI_4
迁来	QIAN_1 LAI_2
迁入	QIAN_1 RU_4
达比	DA_2 BI_3
辽南	LIAO_2 NAN_2
边路	BIAN_1 LU_4
边走边看	BIAN_1 ZOU_3 BIAN_1 KAN_4
边沟	BIAN_1 GOU_1
边条	BIAN_1 TIAO_2
边事	BIAN_1 SHI_4
辩论	BIAN_4 LUN_4
辣辣	LA_4 LA_4
辣子	LA_4 ZI_3;LA_4 ZI_0
辣妈	LA_4 MA_1
辟	BI_4;PI_1;PI_4
输输	SHU_1 SHU_1
辉煌	HUI_1 HUANG_2
辅料	FU_3 LIAO_4
辅导课	FU_2 DAO_3 KE_4
较瘦	JIAO_4 SHOU_4
轻音乐	QING_1 YIN_1 YUE_4
轻闲	QING_1 XIAN_2
轻便	QING_1 BIAN_4
软件编程	RUAN_3 JIAN_4 BIAN_1 CHENG_2
转运	ZHUAN_3 YUN_4
转眼	ZHUAN_2 YAN_3;ZHUAN_3 YAN_3
转折	ZHUAN_3 ZHE_2
转子	ZHUAN_4 ZI_3;ZHUAN_4 ZI_0
转包	ZHUAN_3 BAO_1
转乘	ZHUAN_3 CHENG_2
车饰	CHE_1 SHI_4
车正	CHE_1 ZHENG_4
车架	CHE_1 JIA_4
车城	CHE_1 CHENG_2
车号	CHE_1 HAO_4
车厢	CHE_1 XIANG_1
身后	SHEN_1 HOU_4
身份识别	SHEN_1 FEN_4 SHI_2 BIE_2
身世	SHEN_1 SHI_4;SHEN_1 SHI_0
跳脱	TIAO_4 TUO_1
跳班	TIAO_4 BAN_1
跳板	TIAO_4 BAN_3
跳开	TIAO_4 KAI_1
跳动	TIAO_4 DONG_4
路门	LU_4 MEN_2
路遥知马力	LU_4 YAO_2 ZHI_1 MA_3 LI_4
路演	LU_4 YAN_3
路段	LU_4 DUAN_4
路旁	LU_4 PANG_2
路工	LU_4 GONG_1
跪求	GUI_4 QIU_2
跪下	GUI_4 XIA_4;GUI_4 XIA_0
跨省	KUA_4 SHENG_3
跨界	KUA_4 JIE_4
跨区	KUA_4 QU_1
跟从	GEN_1 CONG_2
跑男	PAO_3 NAN_2
跃层	YUE_4 CENG_2
趴下	PA_1 XIA_4
足球场	ZU_2 QIU_2 CHANG_3
足浴	ZU_2 YU_4
越长越	YUE_4 ZHANG_3 YUE_4
越轻	YUE_4 QING_1
越来越老	YUE_4 LAI_2 YUE_4 LAO_3
越来越低	YUE_4 LAI_2 YUE_4 DI_1
越感	YUE_4 GAN_3
越女	YUE_4 NV_3
越努力	YUE_4 NU_3 LI_4
超帅	CHAO_1 SHUAI_4
超声	CHAO_1 SHENG_1
起明	QI_3 MING_2
起意	QI_3 YI_4
起床气	QI_3 CHUANG_2 QI_4
起坐	QI_3 ZUO_4
起名	QI_3 MING_2
起劲	QI_3 JIN_4
赶起来	GAN_3 QI_3 LAI_2
赶走	GAN_2 ZOU_3;GAN_3 ZOU_3
赶脚	GAN_2 JIAO_3
赶上去	GAN_3 SHANG_4 QU_4
赵庄	ZHAO_4 ZHUANG_1
赵伟	ZHAO_4 WEI_3
赵云	ZHAO_4 YUN_2
走运	ZOU_3 YUN_4
走过场	ZOU_3 GUO_4 CHANG_3
走起	ZOU_2 QI_3
走读	ZOU_3 DU_2
走眼	ZOU_2 YAN_3
走时	ZOU_3 SHI_2
走合	ZOU_3 HE_2
走势	ZOU_3 SHI_4
赣	GAN_4
赢得	YING_2 DE_2;YING_2 DE_0
赢利	YING_2 LI_4
赛格	SAI_4 GE_2
赛区	SAI_4 QU_1
赔不起	PEI_2 BU_0 QI_3
赏心悦目	SHANG_3 XIN_1 YUE_4 MU_4
赌鬼	DU_2 GUI_3
资中	ZI_1 ZHONG_1
贺龙	HE_4 LONG_2
费神	FEI_4 SHEN_2
费城	FEI_4 CHENG_2
贵妇	GUI_4 FU_4
贵南	GUI_4 NAN_2
贱女孩	JIAN_4 NV_3 HAI_2
购机	GOU_4 JI_1
贪恋	TAN_1 LIAN_4
贪小	TAN_1 XIAO_3
质要	ZHI_4 YAO_4
质地	ZHI_4 DI_4
货号	HUO_4 HAO_4
货人	HUO_4 REN_2
账面	ZHANG_4 MIAN_4
账本	ZHANG_4 BEN_3
败家子	BAI_4 JIA_1 ZI_3
财税	CAI_2 SHUI_4
财智	CAI_2 ZHI_4
负重	FU_4 ZHONG_4
负有	FU_4 YOU_3
贞观	ZHEN_1 GUAN_1
贞	ZHEN_1
贝壳	BEI_4 KE_2
豪门	HAO_2 MEN_2
豪华车	HAO_2 HUA_2 CHE_1
象是	XIANG_4 SHI_4
豆角	DOU_4 JIAO_3
谢静	XIE_4 JING_4
谢霆锋	XIE_4 TING_2 FENG_1
谢文	XIE_4 WEN_2
谢家	XIE_4 JIA_1
谢一	XIE_4 YI_1
谊	YI_4
谈拢	TAN_2 LONG_3
调味	TIAO_2 WEI_4
调令	DIAO_4 LING_4
谁分	SHUI_2 FEN_1
谁人	SHUI_2 REN_2
课辅	KE_4 FU_3
课室	KE_4 SHI_4
课余	KE_4 YU_2
读写	DU_2 XIE_3
诺言	NUO_4 YAN_2
诸如此类	ZHU_1 RU_2 CI_3 LEI_4
请帖	QING_2 TIE_3;QING_3 TIE_3
请安	QING_3 AN_1
请外	QING_3 WAI_4
请功	QING_3 GONG_1
请关注	QING_3 GUAN_1 ZHU_4
说说笑笑	SHUO_1 SHUO_1 XIAO_4 XIAO_4
说天下	SHUO_1 TIAN_1 XIA_4
诱惑力	YOU_4 HUO_4 LI_4
语感	YU_2 GAN_3;YU_3 GAN_3
详说	XIANG_2 SHUO_1
该当	GAI_1 DANG_1
该填	GAI_1 TIAN_2
诞生地	DAN_4 SHENG_1 DI_4
话头	HUA_4 TOU_2
话唠	HUA_4 LAO_4
诚实的人	CHENG_2 SHI_2 DE_0 REN_2
诗意	SHI_1 YI_4
诗情画意	SHI_1 QING_2 HUA_4 YI_4
诗人	SHI_1 REN_2;SHI_1 REN_0
试管婴儿	SHI_4 GUAN_3 YING_1 ER_2
诋毁	DI_2 HUI_3;DI_3 HUI_3
诈骗犯	ZHA_4 PIAN_4 FAN_4
评比	PING_2 BI_3
评奖	PING_2 JIANG_3
证婚人	ZHENG_4 HUN_1 REN_2
设防	SHE_4 FANG_2
设计家	SHE_4 JI_4 JIA_1
许仙	XU_3 XIAN_1
讲寺	JIANG_3 SI_4
讲台	JIANG_3 TAI_2
讲你知	JIANG_2 NI_3 ZHI_1
议题	YI_4 TI_2
议程	YI_4 CHENG_2
认输	REN_4 SHU_1
认购	REN_4 GOU_4
认老	REN_4 LAO_3
订起来	DING_4 QI_3 LAI_2
计量	JI_4 LIANG_4;JI_4 LIANG_2
警官证	JING_3 GUAN_1 ZHENG_4
言说	YAN_2 SHUO_1
言词	YAN_2 CI_2
言论自由	YAN_2 LUN_4 ZI_4 YOU_2
言简意赅	YAN_2 JIAN_3 YI_4 GAI_1
言之	YAN_2 ZHI_1
解难	JIE_3 NAN_2
解读	JIE_3 DU_2
解结	JIE_3 JIE_2
览	LAN_3
视频直播	SHI_4 PIN_2 ZHI_2 BO_1
观赏鱼	GUAN_1 SHANG_3 YU_2
见长	JIAN_4 CHANG_2;JIAN_4 ZHANG_3
见习	JIAN_4 XI_2
要账	YAO_4 ZHANG_4
要价	YAO_4 JIA_4
西龙	XI_1 LONG_2
西高	XI_1 GAO_1
西道	XI_1 DAO_4
西行	XI_1 XING_2
西芹	XI_1 QIN_2
西红门	XI_1 HONG_2 MEN_2
西直门桥	XI_1 ZHI_2 MEN_2 QIAO_2
西溪湿地	XI_1 XI_1 SHI_1 DI_4
西林	XI_1 LIN_2
西来	XI_1 LAI_2
西安站	XI_1 AN_1 ZHAN_4
西华	XI_1 HUA_2
西北工业大学	XI_1 BEI_3 GONG_1 YE_4 DA_4 XUE_2
西人	XI_1 REN_2
西二环	XI_1 ER_4 HUAN_2
西二旗	XI_1 ER_4 QI_2
襄樊	XIANG_1 FAN_2
襄城	XIANG_1 CHENG_2
裱	BIAO_3
装饰品	ZHUANG_1 SHI_4 PIN_3
装起	ZHUANG_1 QI_3
装箱	ZHUANG_1 XIANG_1
装束	ZHUANG_1 SHU_4
装有	ZHUANG_1 YOU_3
袭击	XI_2 JI_1
被车撞	BEI_4 CHE_1 ZHUANG_4
被罩	BEI_4 ZHAO_4
被淹	BEI_4 YAN_1
被服	BEI_4 FU_2
被拍	BEI_4 PAI_1
袜	WA_4
袖口	XIU_4 KOU_3
袁家岗	YUAN_2 JIA_1 GANG_3
表里不一	BIAO_2 LI_3 BU_4 YI_1
表皮	BIAO_3 PI_2
补课班	BU_3 KE_4 BAN_1
衣物	YI_1 WU_4
街旁	JIE_1 PANG_2
街心	JIE_1 XIN_1
街女	JIE_1 NV_3
行道	HANG_2 DAO_4
行舟	XING_2 ZHOU_1
行至	XING_2 ZHI_4
行经	XING_2 JING_1
行约	HANG_2 YUE_1
行政学	XING_2 ZHENG_4 XUE_2
行心	XING_2 XIN_1
行东	XING_2 DONG_1
蠡湖	LI_2 HU_2
融城	RONG_2 CHENG_2
蝎子	XIE_1 ZI_3;XIE_1 ZI_0
蝎	XIE_1
蜥蜴	XI_1 YI_4
蜘蛛侠	ZHI_1 ZHU_1 XIA_2
蜂蜜水	FENG_1 MI_4 SHUI_3
蛔虫	HUI_2 CHONG_2
蛋挞	DAN_4 TA_4
蛀牙	ZHU_4 YA_2
虚报	XU_1 BAO_4
虐待	NVE_4 DAI_4
藻	ZAO_3
薯条	SHU_3 TIAO_2
薄膜	BAO_2 MO_2
蕉	JIAO_1;QIAO_2
蓟州	JI_4 ZHOU_1
蓝调	LAN_2 DIAO_4;LAN_2 TIAO_2
蓝本	LAN_2 BEN_3
蓝星	LAN_2 XING_1
蓓蕾	BEI_4 LEI_3
蒜	SUAN_4
蒙面	MENG_2 MIAN_4
蒙在鼓里	MENG_2 ZAI_4 GU_2 LI_3;MENG_2 ZAI_4 GU_3 LI_3
葫芦丝	HU_2 LU_2 SI_1
落得	LUO_4 DE_0
萨摩耶	SA_4 MO_2 YE_1
营销方式	YING_2 XIAO_1 FANG_1 SHI_4
营业证	YING_2 YE_4 ZHENG_4
营业室	YING_2 YE_4 SHI_4
菠萝山	BO_1 LUO_2 SHAN_1
菜鸟	CAI_4 NIAO_3
菇	GU_1;GU_0
获嘉	HUO_4 JIA_1
莲花山	LIAN_2 HUA_1 SHAN_1
莱阳	LAI_2 YANG_2
莱茵	LAI_2 YIN_1
莫非	MO_4 FEI_1
荷塘	HE_2 TANG_2
药单	YAO_4 DAN_1
药包	YAO_4 BAO_1
草堂	CAO_3 TANG_2
草地	CAO_3 DI_4
茶茶	CHA_2 CHA_2
茶室	CHA_2 SHI_4
茶坊	CHA_2 FANG_1
茶会	CHA_2 HUI_4
茶业	CHA_2 YE_4
茜茜	QIAN_4 QIAN_4
茜	QIAN_4;XI_1
茗	MING_2
范杰	FAN_4 JIE_2
范本	FAN_4 BEN_3
英雄联盟	YING_1 XIONG_2 LIAN_2 MENG_2
英式	YING_1 SHI_4
英俊潇洒	YING_1 JUN_4 XIAO_1 SA_3
苦瓜	KU_3 GUA_1
苦水	KU_2 SHUI_3;KU_3 SHUI_3
苦于	KU_3 YU_2;KU_3 YU_0
若干	RUO_4 GAN_1
苗木	MIAO_2 MU_4
苏锡常	SU_1 XI_1 CHANG_2
苏然	SU_1 RAN_2
苏州星	SU_1 ZHOU_1 XING_1
苏州太仓	SU_1 ZHOU_1 TAI_4 CANG_1
苏州吴江	SU_1 ZHOU_1 WU_2 JIANG_1
苍蝇	CANG_1 YING_2;CANG_1 YING_0
花茶	HUA_1 CHA_2
花苑	HUA_1 YUAN_4
花海	HUA_1 HAI_3
花梨	HUA_1 LI_2
花朵	HUA_1 DUO_3
花木	HUA_1 MU_4
花市	HUA_1 SHI_4
花台	HUA_1 TAI_2
花前月下	HUA_1 QIAN_2 YUE_4 XIA_4
花俏	HUA_1 QIAO_4
花会	HUA_1 HUI_4
芭蕾	BA_1 LEI_2;BA_1 LEI_3
芦荟	LU_2 HUI_4
芙蓉园	FU_2 RONG_2 YUAN_2
芙	FU_2
芊	QIAN_1
节食	JIE_1 SHI_2;JIE_2 SHI_2
艾灸	AI_4 JIU_3
艾溪湖	AI_4 XI_1 HU_2
艺苑	YI_4 YUAN_4
艺术馆	YI_4 SHU_4 GUAN_3
艺术教育	YI_4 SHU_4 JIAO_4 YU_4
艺星整形	YI_4 XING_1 ZHENG_3 XING_2
艳玲	YAN_4 LING_2
艳照	YAN_4 ZHAO_4
色香味	SE_4 XIANG_1 WEI_4
艰巨	JIAN_1 JU_4
船长	CHUAN_2 ZHANG_3
航空航天	HANG_2 KONG_1 HANG_2 TIAN_1
航海	HANG_2 HAI_3
航务	HANG_2 WU_4
舞蹈学	WU_3 DAO_3 XUE_2
舞娘	WU_3 NIANG_2
舒雅	SHU_1 YA_3
舒舒	SHU_1 SHU_1
舍不得你	SHE_3 BU_4 DE_2 NI_3
舌	SHE_2
舅父	JIU_4 FU_4
致使	ZHI_4 SHI_3
至多	ZHI_4 DUO_1
自负	ZI_4 FU_4
自能	ZI_4 NENG_2
自然风光	ZI_4 RAN_2 FENG_1 GUANG_1
自然美	ZI_4 RAN_2 MEI_3
自然性	ZI_4 RAN_2 XING_4
自杀式	ZI_4 SHA_1 SHI_4
自救	ZI_4 JIU_4
自慰	ZI_4 WEI_4
自愿原则	ZI_4 YUAN_4 YUAN_2 ZE_2
自感	ZI_4 GAN_3
自因	ZI_4 YIN_1
自发	ZI_4 FA_1
自动门	ZI_4 DONG_4 MEN_2
自力更生	ZI_4 LI_4 GENG_1 SHENG_1
自修	ZI_4 XIU_1
自交	ZI_4 JIAO_1
腹腔	FU_4 QIANG_1
腰缠万贯	YAO_1 CHAN_2 WAN_4 GUAN_4
脾性	PI_2 XING_4;PI_2 XING_0
脸皮薄	LIAN_3 PI_2 BAO_2
脱脱	TUO_1 TUO_1
脱脂	TUO_1 ZHI_1
脱去	TUO_1 QU_4
脱不了	TUO_1 BU_4 LIAO_3
脚气	JIAO_3 QI_4
脚底	JIAO_2 DI_3;JIAO_3 DI_3
脑电	NAO_3 DIAN_4
脑残	NAO_3 CAN_2
脑后	NAO_3 HOU_4
脐橙	QI_2 CHENG_2
脐带	QI_2 DAI_4
脉动	MAI_4 DONG_4
能指	NENG_2 ZHI_3
能免	NENG_2 MIAN_3
能伸	NENG_2 SHEN_1
胸前	XIONG_1 QIAN_2
胡须	HU_2 XU_1
胡话	HU_2 HUA_4
胡然	HU_2 RAN_2
胡桃	HU_2 TAO_2
胡搅	HU_2 JIAO_3
胜地	SHENG_4 DI_4
胜任	SHENG_4 REN_4
背部	BEI_4 BU_4
背会	BEI_4 HUI_4
胆大	DAN_3 DA_4
胃镜	WEI_4 JING_4
育苗	YU_4 MIAO_2
肯做	KEN_3 ZUO_4
肥水不流外人田	FEI_2 SHUI_3 BU_4 LIU_2 WAI_4 REN_2 TIAN_2
肥头大耳	FEI_2 TOU_2 DA_4 ER_3
股份有限公司	GU_3 FEN_4 YOU_3 XIAN_4 GONG_1 SI_1
股份公司	GU_3 FEN_4 GONG_1 SI_1
肝	GAN_1
肖晓	XIAO_1 XIAO_3
肌	JI_1
肉食	ROU_4 SHI_2
肉质	ROU_4 ZHI_4
联立	LIAN_2 LI_4
联合国	LIAN_2 HE_2 GUO_2
联办	LIAN_2 BAN_4
联创	LIAN_2 CHUANG_4
联保	LIAN_2 BAO_3
职业素养	ZHI_2 YE_4 SU_4 YANG_3
耳麦	ER_3 MAI_4
耳洞	ER_3 DONG_4
耳塞	ER_3 SAI_1
耐性	NAI_4 XING_4
耐不住	NAI_4 BU_2 ZHU_4
耍酒疯	SHUA_3 JIU_3 FENG_1
考虑周到	KAO_3 LV_4 ZHOU_1 DAO_4
考分	KAO_3 FEN_1
老龙	LAO_3 LONG_2
老黄	LAO_3 HUANG_2
老狼	LAO_3 LANG_2
老牌子	LAO_3 PAI_2 ZI_3
老死	LAO_2 SI_3
老幼	LAO_3 YOU_4
老小孩	LAO_2 XIAO_3 HAI_2
老家具	LAO_3 JIA_1 JU_4
老夫	LAO_3 FU_1
老大妈	LAO_3 DA_4 MA_1
老叔	LAO_3 SHU_1
老六	LAO_3 LIU_4
老何	LAO_3 HE_2
老五	LAO_2 WU_3;LAO_3 WU_3
老乡会	LAO_3 XIANG_1 HUI_4
老九	LAO_2 JIU_3;LAO_3 JIU_3
老中医	LAO_3 ZHONG_1 YI_1
老中	LAO_3 ZHONG_1
老七	LAO_3 QI_1
老一代	LAO_3 YI_2 DAI_4
翻天	FAN_1 TIAN_1
翰	HAN_4
群友	QUN_2 YOU_3
美院	MEI_3 YUAN_4
美牙	MEI_3 YA_2
美洲故事	MEI_3 ZHOU_1 GU_4 SHI_4
美感	MEI_2 GAN_3;MEI_3 GAN_3
美心	MEI_3 XIN_1
美德	MEI_3 DE_2
美容整形	MEI_3 RONG_2 ZHENG_3 XING_2
美女姐姐	MEI_3 NV_3 JIE_3 JIE_3
美丽心情	MEI_3 LI_4 XIN_1 QING_2
美不美	MEI_3 BU_2 MEI_3
羊膜	YANG_2 MO_2
罪证	ZUI_4 ZHENG_4
罗杰	LUO_2 JIE_2
罗城	LUO_2 CHENG_2
网龄	WANG_3 LING_2
网警	WANG_2 JING_3
网络环境	WANG_3 LUO_4 HUAN_2 JING_4
网络广告	WANG_3 LUO_4 GUANG_3 GAO_4
网王	WANG_3 WANG_2
网格	WANG_3 GE_2
网关	WANG_3 GUAN_1
网信	WANG_3 XIN_4
网付	WANG_3 FU_4
网上行	WANG_3 SHANG_4 XING_2
缺课	QUE_1 KE_4
缤纷	BIN_1 FEN_1
缤	BIN_1
缝纫	FENG_2 REN_4
编成	BIAN_1 CHENG_2
缕	LV_3;LV_0
缓冲期	HUAN_3 CHONG_1 QI_1
绿道	LV_4 DAO_4
绿岛	LV_4 DAO_3
绿卡	LV_4 KA_3
综合区	ZONG_1 HE_2 QU_1
绷带	BENG_1 DAI_4
维修工	WEI_2 XIU_1 GONG_1
绳子	SHENG_2 ZI_3;SHENG_2 ZI_0
续作	XU_4 ZUO_4
继续爱	JI_4 XU_4 AI_4
绣花	XIU_4 HUA_1
统领	TONG_2 LING_3;TONG_3 LING_3
统合	TONG_3 HE_2
统一性	TONG_3 YI_1 XING_4
绝版	JUE_2 BAN_3
绕弯	RAO_4 WAN_1
绕城	RAO_4 CHENG_2
结石	JIE_2 SHI_2
结疤	JIE_2 BA_1
结点	JIE_2 DIAN_3
结款	JIE_2 KUAN_3
结案	JIE_2 AN_4
绑带	BANG_3 DAI_4
经营部	JING_1 YING_2 BU_4
经济性	JING_1 JI_4 XING_4
绍安	SHAO_4 AN_1
绍介	SHAO_4 JIE_4
细语	XI_4 YU_3
练市	LIAN_4 SHI_4
练出	LIAN_4 CHU_1
线衣	XIAN_4 YI_1
纹理	WEN_2 LI_3
纸盒	ZHI_3 HE_2
纸板	ZHI_2 BAN_3;ZHI_3 BAN_3
纲要	GANG_1 YAO_4
纯碱	CHUN_2 JIAN_3
纪念馆	JI_4 NIAN_4 GUAN_3
约同	YUE_1 TONG_2
纤瘦	XIAN_1 SHOU_4
纤体	XIAN_1 TI_3
红龙	HONG_2 LONG_2
红衣	HONG_2 YI_1
红肿	HONG_2 ZHONG_3
红烧排骨	HONG_2 SHAO_1 PAI_2 GU_3
红杉	HONG_2 SHAN_1
红心	HONG_2 XIN_1
红平	HONG_2 PING_2
红岭	HONG_2 LING_3
红岛	HONG_2 DAO_3
红塔	HONG_2 TA_3
累死累活	LEI_4 SI_3 LEI_4 HUO_2
紧邻	JIN_3 LIN_2
紧接	JIN_3 JIE_1
紧挨	JIN_3 AI_1
紧密	JIN_3 MI_4
索索	SUO_2 SUO_3
素雅	SU_4 YA_3
素素	SU_4 SU_4
素描	SU_4 MIAO_2
糖尿病	TANG_2 NIAO_4 BING_4
糊糊	HU_1 HU_1
精辟	JING_1 PI_4
精神病	JING_1 SHEN_2 BING_4
精神支柱	JING_1 SHEN_2 ZHI_1 ZHU_4
精疲力尽	JING_1 PI_2 LI_4 JIN_4
粗旷	CU_1 KUANG_4
粉红	FEN_3 HONG_2
粉粉	FEN_3 FEN_3
粉底	FEN_2 DI_3;FEN_3 DI_3
类人	LEI_4 REN_2
米行	MI_1 HANG_2
篷布	PENG_2 BU_4
管理部	GUAN_2 LI_3 BU_4;GUAN_3 LI_3 BU_4
管理系	GUAN_2 LI_3 XI_4
管制	GUAN_3 ZHI_4
简述	JIAN_3 SHU_4
简而言之	JIAN_3 ER_2 YAN_2 ZHI_1
简略	JIAN_3 LVE_4
简写	JIAN_2 XIE_3;JIAN_3 XIE_3
筹钱	CHOU_2 QIAN_2
筹备婚礼	CHOU_2 BEI_4 HUN_1 LI_3
策划部	CE_4 HUA_4 BU_4
答谢	DA_2 XIE_4
等号	DENG_3 HAO_4
第五代	DI_4 WU_3 DAI_4
第二集	DI_4 ER_4 JI_2
第二职业	DI_4 ER_4 ZHI_2 YE_4
第二类	DI_4 ER_4 LEI_4
第二本	DI_4 ER_4 BEN_3
第三胎	DI_4 SAN_1 TAI_1
第三第四	DI_4 SAN_1 DI_4 SI_4
第三张	DI_4 SAN_1 ZHANG_1
第三周	DI_4 SAN_1 ZHOU_1
第三份	DI_4 SAN_1 FEN_4
第一集	DI_4 YI_1 JI_2
第一章	DI_4 YI_1 ZHANG_1
第一季	DI_4 YI_1 JI_4
符文	FU_2 WEN_2
笔直	BI_3 ZHI_2
笔挺	BI_2 TING_3;BI_3 TING_3
笑真	XIAO_4 ZHEN_1
笑死人	XIAO_4 SI_3 REN_2
笑口常开	XIAO_4 KOU_3 CHANG_2 KAI_1
竹笋	ZHU_2 SUN_3
竹子林	ZHU_2 ZI_3 LIN_2
竹园	ZHU_2 YUAN_2
端端正正	DUAN_1 DUAN_1 ZHENG_4 ZHENG_4
童鞋	TONG_2 XIE_2
童童	TONG_2 TONG_2
竞拍	JING_4 PAI_1
竞争性	JING_4 ZHENG_1 XING_4
立本	LI_4 BEN_3
立方米	LI_4 FANG_1 MI_3
立中	LI_4 ZHONG_1
窖	JIAO_4
突如其来	TU_1 RU_2 QI_2 LAI_2
空隙	KONG_4 XI_4
空车	KONG_1 CHE_1
空跑	KONG_1 PAO_2
空空荡荡	KONG_1 KONG_1 DANG_4 DANG_4
空洞	KONG_1 DONG_4
空呗	KONG_1 BEI_0
空位	KONG_1 WEI_4;KONG_4 WEI_4
穷人	QIONG_2 REN_2;QIONG_2 REN_0
穗	SUI_4
稽查	JI_1 CHA_2
税单	SHUI_4 DAN_1
稍差	SHAO_1 CHA_4
程然	CHENG_2 RAN_2
程之	CHENG_2 ZHI_1
移植	YI_2 ZHI_2
移动电话	YI_2 DONG_4 DIAN_4 HUA_4
称心	CHEN_4 XIN_1
秦都	QIN_2 DU_1
秦秦	QIN_2 QIN_2
秦女	QIN_2 NV_3
秒杀	MIAO_3 SHA_1
秒回	MIAO_3 HUI_2
科里	KE_1 LI_3
科级	KE_1 JI_2
科研机构	KE_1 YAN_2 JI_1 GOU_4
科技馆	KE_1 JI_4 GUAN_3
科技处	KE_1 JI_4 CHU_4
科学城	KE_1 XUE_2 CHENG_2
种花	ZHONG_4 HUA_1
种植业	ZHONG_4 ZHI_2 YE_4
种业	ZHONG_3 YE_4
秋霞	QIU_1 XIA_2
秋节	QIU_1 JIE_2
秋波	QIU_1 BO_1
秋实	QIU_1 SHI_2
秋婷	QIU_1 TING_2
私募基金	SI_1 MU_4 JI_1 JIN_1
秀男	XIU_4 NAN_2
离河	LI_2 HE_2
离岗	LI_2 GANG_3
离去	LI_2 QU_4
福龙	FU_2 LONG_2
福马	FU_2 MA_3
福音	FU_2 YIN_1
福相	FU_2 XIANG_4
福源	FU_2 YUAN_2
福州站	FU_2 ZHOU_1 ZHAN_4
福州男	FU_2 ZHOU_1 NAN_2
福地	FU_2 DI_4
福华	FU_2 HUA_2
禄口机场	LU_4 KOU_3 JI_1 CHANG_3
禄	LU_4
禁用	JIN_1 YONG_4
祥子	XIANG_2 ZI_3
神通广大	SHEN_2 TONG_1 GUANG_3 DA_4
神木	SHEN_2 MU_4
祝福语	ZHU_4 FU_2 YU_3
祝塘	ZHU_4 TANG_2
祈求	QI_2 QIU_2
社会问题	SHE_4 HUI_4 WEN_4 TI_2
社会舆论	SHE_4 HUI_4 YU_2 LUN_4
社会生活	SHE_4 HUI_4 SHENG_1 HUO_2
社会实践	SHE_4 HUI_4 SHI_2 JIAN_4
礼拜寺	LI_3 BAI_4 SI_4
磨难	MO_2 NAN_4
磨灭	MO_2 MIE_4
碾	NIAN_3
碧海湾	BI_4 HAI_3 WAN_1
碎石	SUI_4 SHI_2
碎片	SUI_4 PIAN_4
硕硕	SHUO_4 SHUO_4
硅胶	GUI_1 JIAO_1
砸伤	ZA_2 SHANG_1
破旧	PO_4 JIU_4
砚台	YAN_4 TAI_1;YAN_4 TAI_0
矿山	KUANG_4 SHAN_1
矿区	KUANG_4 QU_1
石鼓	SHI_2 GU_3
石马	SHI_2 MA_3
石膏板	SHI_2 GAO_1 BAN_3
石牌	SHI_2 PAI_2
石湾	SHI_2 WAN_1
短工	DUAN_3 GONG_1
